,ticket_id,day_of_week_num,company_size_cat,industry_cat,customer_tier_cat,past_30d_tickets,past_90d_incidents,product_area_cat,customers_affected,error_rate_pct,downtime_min,payment_impact_flag,security_incident_flag,data_loss_flag,priority_cat
0,1000000000,3,1,7,1,2,0,3,2,5.451200538,6,0,0,0,1
1,1000000001,6,1,5,1,2,3,5,24,2.495538315,2,0,0,0,1
2,1000000002,1,1,4,1,3,1,6,1,3.328401754,0,0,0,0,1
3,1000000003,3,1,7,2,2,2,5,25,2.931905845,16,0,0,0,2
4,1000000004,1,1,2,2,5,1,5,28,3.255221823,6,0,0,0,1
5,1000000005,4,2,3,3,3,3,1,74,0.538945288,13,0,0,0,2
6,1000000006,3,1,4,1,0,0,3,17,1.60158398,5,0,0,0,1
7,1000000007,2,1,7,1,1,3,1,10,2.789413784,0,0,0,0,1
8,1000000008,1,3,7,3,6,2,5,171,0.973382072,3,0,0,0,2
9,1000000009,3,2,7,2,1,1,2,62,2.931220426,0,0,0,0,1
10,1000000010,2,1,4,1,3,2,3,4,7.888578491,0,0,0,0,1
11,1000000011,4,2,4,2,3,1,3,122,15.92510346,0,0,0,0,2
12,1000000012,4,3,7,3,8,4,3,276,4.033129448,0,0,0,0,2
13,1000000013,2,1,4,1,2,1,6,3,3.444910419,0,0,0,0,1
14,1000000014,3,2,7,2,3,2,4,122,5.589222592,0,0,0,0,2
15,1000000015,1,1,3,2,4,2,2,41,1.121018908,68,0,0,0,2
16,1000000016,4,1,7,1,3,1,1,6,6.318374386,38,0,0,0,2
17,1000000017,2,3,7,3,10,4,5,89,2.589952188,0,0,0,0,1
18,1000000018,3,1,7,1,3,0,5,3,0.3089947,0,0,0,0,1
19,1000000019,5,3,3,2,4,2,1,999,6.261724442,34,0,0,0,3
20,1000000020,1,2,7,3,1,3,6,126,1.998749911,36,0,0,0,2
21,1000000021,5,1,2,1,8,1,5,1,0.340663894,0,0,0,0,1
22,1000000022,2,3,7,3,2,2,3,93,0.512628646,0,0,0,0,1
23,1000000023,3,2,4,2,1,2,3,47,1.42965737,0,0,0,0,1
24,1000000024,1,1,4,1,2,0,6,5,2.595185806,3,0,0,0,1
25,1000000025,1,3,6,2,5,2,6,260,0.754435829,21,0,0,0,2
26,1000000026,4,1,7,1,3,0,5,4,0.670190307,0,0,0,0,1
27,1000000027,2,3,3,2,5,3,3,93,1.610949078,0,0,0,0,1
28,1000000028,5,1,5,1,3,1,2,7,1.850416101,0,0,0,0,1
29,1000000029,3,2,3,2,3,1,5,14,5.918528113,0,0,0,0,1
30,1000000030,1,3,3,2,6,3,1,843,3.604602363,0,0,0,0,2
31,1000000031,7,2,7,3,3,1,4,173,5.211462613,25,0,0,0,3
32,1000000032,1,2,7,2,3,0,3,35,0.407249494,19,0,0,0,2
33,1000000033,3,1,4,1,1,0,1,7,3.596113536,0,0,0,0,1
34,1000000034,1,1,2,1,7,2,2,1,1.297425879,0,0,0,0,1
35,1000000035,3,3,7,3,3,2,3,135,12.37120565,12,0,0,0,3
36,1000000036,2,1,6,1,2,1,6,5,1.546358675,0,0,0,0,1
37,1000000037,1,1,3,1,2,0,3,0,0.0,14,0,0,0,1
38,1000000038,1,1,5,1,0,0,6,5,2.785187346,0,0,0,0,1
39,1000000039,2,1,2,2,1,2,3,13,1.740835929,49,0,0,0,2
40,1000000040,3,3,1,3,14,3,1,111,2.298085862,5,0,0,0,3
41,1000000041,5,3,7,3,5,1,3,43,1.283888451,16,0,0,0,2
42,1000000042,3,1,7,1,4,0,3,4,2.612966584,0,0,0,0,1
43,1000000043,2,1,5,1,2,1,6,15,2.683907325,17,0,0,0,2
44,1000000044,1,1,5,1,2,0,1,37,14.5968942,28,0,0,0,3
45,1000000045,1,2,3,2,4,2,6,28,8.404124895,19,0,0,0,2
46,1000000046,5,3,7,3,8,4,6,2349,2.964021917,3,0,0,0,3
47,1000000047,5,3,1,3,12,1,2,370,0.160973658,0,1,0,0,3
48,1000000048,5,2,7,3,3,3,5,16,3.820267202,7,0,0,0,1
49,1000000049,5,1,2,2,5,1,2,34,5.307834823,0,0,0,0,1
50,1000000050,5,3,1,3,4,5,2,397,2.813483085,4,0,0,0,3
51,1000000051,1,3,7,3,8,3,5,970,2.67198852,0,0,0,0,2
52,1000000052,1,3,1,3,8,0,5,52,1.394195749,16,0,0,0,2
53,1000000053,3,2,5,3,4,2,4,48,1.139699172,0,0,0,0,1
54,1000000054,5,2,5,3,3,3,1,166,0.950696952,0,0,0,0,2
55,1000000055,4,1,5,1,3,0,6,2,6.243944687,17,0,0,0,1
56,1000000056,5,1,5,1,4,2,5,5,3.483323326,0,0,0,0,1
57,1000000057,2,3,3,2,11,3,2,588,1.796291587,10,0,0,0,2
58,1000000058,3,3,7,3,8,0,6,166,6.033734302,0,0,0,0,2
59,1000000059,4,3,7,3,7,6,6,412,3.844552579,0,0,0,0,2
60,1000000060,3,1,7,1,3,3,5,0,2.43558542,0,0,0,0,1
61,1000000061,2,1,2,1,2,1,3,9,2.825975042,42,0,0,0,2
62,1000000062,1,1,7,1,2,3,2,5,2.073982535,37,0,0,0,2
63,1000000063,5,2,3,3,4,4,3,8,3.897792311,16,0,0,0,2
64,1000000064,2,3,3,2,5,4,5,260,1.349495093,0,0,0,0,2
65,1000000065,1,2,7,3,4,3,4,96,2.921041798,0,0,0,0,2
66,1000000066,3,3,1,3,13,4,6,274,2.99374017,6,0,0,0,2
67,1000000067,2,3,1,3,5,5,2,1770,0.717721944,0,0,0,0,3
68,1000000068,3,3,6,2,7,3,3,265,10.68761259,23,0,0,0,3
69,1000000069,2,3,7,3,8,3,5,363,2.218473015,17,0,0,0,3
70,1000000070,4,3,3,2,10,2,6,619,3.934967613,28,0,0,0,3
71,1000000071,2,3,1,3,6,3,6,707,0.464067145,20,0,0,0,3
72,1000000072,1,2,7,3,6,1,4,75,1.452680995,0,0,0,0,1
73,1000000073,4,3,3,2,5,2,6,362,3.717943255,0,0,0,0,2
74,1000000074,5,1,1,1,4,3,5,3,2.270773755,6,0,0,0,1
75,1000000075,1,3,3,2,7,4,5,308,0.843869427,0,0,0,0,1
76,1000000076,3,1,7,2,5,1,3,14,7.477836574,0,0,0,0,1
77,1000000077,4,2,7,2,3,3,5,12,0.244087866,0,0,0,0,1
78,1000000078,1,2,2,1,3,2,3,16,0.0,31,0,0,0,1
79,1000000079,1,3,1,3,10,8,6,182,7.080086818,35,0,0,0,3
80,1000000080,4,3,1,3,11,4,3,238,0.647522969,11,0,0,0,2
81,1000000081,3,2,3,2,0,0,4,40,1.564738639,38,0,0,0,2
82,1000000082,3,1,4,1,0,0,3,1,0.926469817,0,0,0,0,1
83,1000000083,1,1,2,2,0,0,1,0,2.033814286,11,0,0,0,1
84,1000000084,3,2,2,1,1,0,3,46,1.59308273,0,0,0,0,1
85,1000000085,5,2,7,3,4,2,1,253,7.197873504,48,0,0,0,3
86,1000000086,3,2,7,2,2,1,4,107,10.08777871,58,0,0,0,3
87,1000000087,4,2,7,2,3,4,6,19,4.031898813,24,0,0,0,2
88,1000000088,2,3,6,2,4,4,4,473,2.06738979,48,0,0,0,3
89,1000000089,1,2,7,2,4,1,3,28,2.982021357,0,0,0,0,1
